253854;32007_3B;Analýza a zložitosť algoritmov;816;s
253855;33302_3B;Anglický jazyk -s2;75;s
253856;31902_3B;Architektúra počítačov;550;s
253857;32022_3B;Architektúra softvérových systémov;816;s
253859;32009_3B;Bakalársky projekt 2;816;kz
253860;33114_3B;Bakalársky projekt 2;356;kz
253862;34490_3I;Bezpečnosť elektrických zariadení;548;s
253863;34499_3B;Bezpečnosť elektrických zariadení;548;s
253866;33193_3B;Filozofia;232;s
253868;34533_3B;Fyzika;817;s
253869;34599_3B;Fyzika 3;817;s
253870;33194_3B;História a filozofia techniky;232;s
253871;30113_3B;Java - objektovo orientované programovanie;356;s
253872;36301_3B;Jazyk nemecký;75;kz
253873;36310_3B;Jazyk nemecký;75;z
253875;36307_3B;Jazyk ruský;75;z
253876;32012_3B;Klasické šifry;816;s
253877;32050_3B;Komunikačné siete 1;816;s
253878;35071_3B;Komunikačné siete 2;816;s
253879;32173_3B;Komunikačné systémy;549;s
253880;38184_3B;Kybernetika 2;356;s
253881;31704_3B;Lineárna algebra;816;s
253882;34714_3B;Logické systémy;816;s
253883;33370_3B;Manažment komunikácie;75;kz
253884;32139_3B;Manažment kvality;549;s
253885;34706_3B;Matematika 1;816;s
253886;34700_3B;Matematika 2;816;s
253887;32011_3B;Počítačová kriminalita;816;s
253889;38174_3B;Priemyselné komunikačné zbernice;356;s
253890;32019_3B;Programovacie techniky;816;s
253891;32170_3B;Programovateľné číslicové systémy;549;s
253892;32006_3B;Projektovanie databázových systémov;816;s
253894;32018_3B;Rýchle algoritmy;816;s
253895;31505_3B;Seminár z fyziky;817;z
253896;31512_3B;Seminár z fyziky 1;817;z
253897;34510_3B;Seminár z Fyziky 2;817;z
253898;31757_3B;Seminár z matematiky 2;816;z
253900;31719_3B;Štatistické metódy v informatike;816;s
253901;33401_3B;Telesná kultúra;473;z
253902;33410_3B;Telesná kultúra;473;z
253903;33411_3B;Telesná kultúra;473;z
253904;33421_3B;Telesná kultúra;473;z
253905;35033_3B;Teoretické základy informatiky;816;s
253906;33115_3B;Tvorba internetových aplikácií;356;s
253910;32021_3B;Workflow manažment systémy;816;s
253912;31755_3B;Základy finančníctva;816;s
253913;31627_3B;Základy práva;817;s
253940;38176_3B;Automatizácia 2;356;s
253941;32131_3B;Bakalársky projekt 2;549;kz
253942;31404_3B;Bezpečnosť a ochrana zdravia pri práci 2;548;z
253943;34942_3B;Diagnostika a testovanie automobilov;550;s
253944;35501_3B;Elektrické obvody 1;550;s
253945;32507_3B;Elektrické obvody 2;550;s
253946;32105_3B;Elektronické prvky;549;s
253947;34507_3B;Fyzika 1;817;s
253948;31501_3B;Fyzika 2;817;s
253949;32409_3B;Komunikačné systémy;818;s
253950;34713_3B;Logické systémy;816;s
253951;32106_3B;Manažment kvality;549;s
253952;31705_3B;Matematika 1;816;s
253953;31708_3B;Matematika 2;816;s
253954;31709_3B;Matematika 3;816;s
253955;31813_3B;Mechanika;548;s
253956;34941_3B;Mikroprocesorová technika;549;s
253957;32357_3B;Mikrovlnná technika a rádiokomunikácie;549;s
253958;32104_3B;Optoelektronika a laserová technika;549;s
253959;32312_3B;Signály a sústavy;549;s
253960;31815_3B;Stavba automobilov;548;s
253980;32337_3B;Audiovideotechnika;549;s
253981;32333_3B;Bakalársky projekt 2;549;kz
253982;32523_3B;Bakalársky projekt 2;550;kz
253983;31413_3B;Bezpečnosť a ochrana zdravia pri práci 2;548;z
253984;32339_3B;Číslicové a impulzové obvody;549;s
253985;32501_3B;Elektrické obvody 1;550;s
253986;35511_3B;Elektrické obvody 2;550;s
253987;35518_3B;Elektromagnetické pole;550;s
253988;32314_3B;Elektronické prvky a obvody;549;s
253989;31519_3B;Fyzika 1;817;s
253990;31515_3B;Fyzika 2;817;s
253991;34711_3B;Logické systémy;816;s
253992;31701_3B;Matematika 1;816;s
253993;34701_3B;Matematika 2;816;s
253994;31712_3B;Matematika 3;816;s
253995;34715_3B;Matematika 4;816;s
253996;31943_3B;Mikroprocesorová technika;550;s
253997;35157_3B;Princípy návrhu integrovaných obvodov;549;s
253998;32133_3B;Senzorika;549;s
253999;32415_3B;Telekomunikačná technika;818;s
254038;33301_3S;Anglický jazyk -s1;75;s
254039;31902_3S;Architektúra počítačov;550;s
254044;31244_3B;Bakalársky projekt 2;548;kz
254046;31354_3B;Bakalársky projekt 2;548;kz
254047;31354_3S;Bakalársky projekt 2;548;kz
254048;31435_3B;Bakalársky projekt 2;548;kz
254049;31542_3B;Bakalársky projekt 2;817;kz
254050;31646_3B;Bakalársky projekt 2;817;kz
254051;31646_3S;Bakalársky projekt 2;817;kz
254054;34949_3B;Bakalársky projekt 2;550;kz
254055;31415_3B;Bezpečnosť a ochrana zdravia pri práci 2;548;z
254056;31415_3S;Bezpečnosť a ochrana zdravia pri práci 2;548;z
254057;31337_3B;Elektrické prístroje a stanice;548;s
254058;31337_3S;Elektrické prístroje a stanice;548;s
254060;31312_3B;Energetické zdroje a premeny;548;s
254061;31312_3S;Energetické zdroje a premeny;548;s
254062;33193_3S;Filozofia;232;s
254063;31556_3B;Fyzika tuhých látok;817;s
254064;34503_3B;Fyzika 1;817;s
254065;34503_3S;Fyzika 1;817;s
254066;31516_3B;Fyzika 2;817;s
254067;31611_3B;Jadrové zariadenia;817;s
254068;31611_3S;Jadrové zariadenia;817;s
254069;34708_3B;Logické systémy;816;s
254070;31706_3B;Matematika 1;816;s
254071;34702_3B;Matematika 2;816;s
254072;34702_3S;Matematika 2;816;s
254073;31713_3B;Matematika 3;816;s
254074;34716_3B;Matematika 4;816;s
254075;34716_3S;Matematika 4;816;s
254077;31916_3B;Meracia technika;550;s
254078;31916_3S;Meracia technika;550;s
254079;31322_3B;Prenos a rozvod elektrickej energie;548;s
254080;31322_3S;Prenos a rozvod elektrickej energie;548;s
254081;31326_3B;Svetelná technika;548;s
254082;31326_3S;Svetelná technika;548;s
254084;32505_3B;Teoretická elektrotechnika 1;550;s
254085;32505_3S;Teoretická elektrotechnika 1;550;s
254086;35515_3B;Teoretická elektrotechnika 2;550;s
254087;35516_3B;Teoretická elektrotechnika 3;550;s
254088;35516_3S;Teoretická elektrotechnika 3;550;s
254089;31537_3B;Termodynamika materiálov a štatistická fyzika;817;s
254090;31520_3S;Úvod do fyziky;817;kz
254092;31627_3S;Základy práva;817;s
254093;31625_3B;Zdroje žiarenia;817;s
254134;33141_3B;Bakalársky projekt 2;356;kz
254135;33141_3S;Bakalársky projekt 2;356;kz
254136;31412_3S;Bezpecnosť a ochrana zdravia pri práci 2;548;z
254137;31412_3B;Bezpečnosť a ochrana zdravia pri práci 2;548;z
254138;32115_3B;Elektronické systémy;549;s
254139;32115_3S;Elektronické systémy;549;s
254140;32508_3S;Elektrotechnika;550;s
