id,abbreviation,name,parent
30,"FEI","Fakulta elektrotechniky a informatiky",
70,"FIIT","Fakulta informatiky a informačných technológií",
232,"ÚM","Ústav manažmentu STU",
238,"BOZaPO","Referát BOZ, OPPaCO",493
389,"REaSM","Referát evidencie a správy majetku",239
490,"RÚaE","Referát účtovníctva a ekonomiky",239
491,"RR","Referát rozpočtu",239
58,"KESP","Katedra elektrických strojov a prístrojov",30
59,"KEE","Katedra elektroenergetiky",30
61,"KETG","Katedra elektrotechnológie",30
62,"KF","Katedra fyziky",30
63,"KJFT","Katedra jadrovej fyziky a techniky",30
65,"KMech","Katedra mechaniky",30
66,"KMer","Katedra merania",30
67,"KAIVT","Katedra aplikovanej informatiky a výpočtovej techniky",30
68,"KME","Katedra mikroelektroniky",30
71,"KRE","Katedra rádioelektroniky",30
72,"KTL","Katedra telekomunikácií",30
73,"KTEE","Katedra teoretickej a experimentálnej elektrotechniky",30
75,"IKAL","Inštitút komunikácie a aplikovanej lingvistiky",30
78,"LSDV","Lokálne stredisko pre dištančné vzdelávanie",30
79,"Dek","Dekanát",30
226,"VS","Výpočtové stredisko",30
228,"KPŠP","Koordinačné pracovisko štátnych programov",30
230,"ŠJ","Študentská jedáleň FEI",30
231,"ÚVZN","ÚVZ Nemecká",30
294,"VVCSC","Výskumno-vývojové centrum SMART-CITY",30
356,"ÚRK","Ústav robotiky a kybernetiky",30
387,"KPEU","Kancelária programov Európskej únie",30
432,"SKU","Skúšobňa FEI STU",30
473,"TIŠ","Technologický inštitút športu",30
496,"CSTUI","Centrum STU pre informatizáciu",30
548,"ÚEAE","Ústav elektroenergetiky a aplikovanej elektrotechniky",30
549,"ÚEF","Ústav elektroniky a fotoniky",30
550,"ÚE","Ústav elektrotechniky",30
565,"ZÚEaI","Znalecký ústav elektrotechniky a informatiky FEI STU",30
642,"ÚAM","Ústav automobilovej mechatroniky",30
643,"NCTS","Národné centrum telemedicínskych služieb",30
647,"DTC","Danube Transfer Centres",30
816,"ÚIM","Ústav informatiky a matematiky",30
817,"ÚJFI","Ústav jadrového a fyzikálneho inžinierstva",30
818,"ÚT","Ústav telekomunikácií",30
819,"VCSaST","Výskumné centrum svetla a svetelnej techniky",30
239,"SEČ","Sekcia ekonomických činností",388
484,"SCS","Sekcia centrálnych služieb",388
492,"RSRS","Referát správy registratúrneho strediska",388
493,"STaIČ","Sekcia technických a investičných činností",388
474,"OTV","Oddelenie telesnej výchovy",473
475,"OSTVZ","Oddelenie správy telovýchovných zariadení",473
235,"PRVVČ","Podpora realizácie výsledkov VVČ",483
234,"RĽZ","Referát ľudských zdrojov",484
316,"RMÚ","Referát mzdovej účtarne",484
485,"PS","Projektové stredisko",484
486,"RPS","Referát právnych služieb",484
487,"RVO","Referát verejného obstarávania",484
488,"RPC","Referát pracovných ciest",484
489,"RVsV","Referát vzťahov s verejnosťou",484
240,"RTPČ","Referát technicko-prevádzkových činností",493
494,"RIČ","Referát investičných činností",493
495,"STIČ-VS","STIČ-VS",493
233,"OKaAČ","Oddelenie kontroly a administratívnych činností ",79
237,"PGO","Pedagogické oddelenie",79
388,"TF","Dekanát - tajomník fakulty",79
483,"KFEI","Knižnica",79
469,"Fyzika","Fyzika",817
