id,room,equipment,count
,376,41,1
,376,46,20
,377,41,1
,377,46,20
,378,41,1
,378,46,20
,379,41,1
,379,46,20
,380,41,1
,380,46,12
,1013,45,1
,1014,45,1
,1016,41,1
,1016,50,1
,1017,41,1
,1017,50,1
,1018,41,1
,1018,50,1
,1019,46,1
,1020,46,1
,1032,41,1
,1032,50,1
,902,41,1
,904,41,1
,904,50,1
,905,41,1
,906,45,1
,906,46,1
,909,41,1
,913,41,1
,913,45,1
,914,41,1
,914,50,1
,915,41,1
,915,50,1
,916,41,1
,916,50,1
,917,41,1
,917,45,1
,918,41,5
,919,41,1
,919,45,1
,920,41,1
,921,41,11
,921,45,1
,922,41,1
,922,45,1
,922,50,1
,923,41,1
,923,50,1
,924,41,1
,924,50,1
,925,41,1
,925,50,1
,926,41,1
,926,50,1
,927,41,1
,927,50,1
,928,41,1
,928,50,1
,929,41,1
,929,50,1
,930,41,1
,930,50,1
,931,41,1
,931,50,1
,932,41,1
,932,50,1
,933,41,1
,933,50,1
,934,41,1
,934,50,1
,935,41,1
,935,50,1
,936,41,1
,936,50,1
,937,41,1
,937,45,5
,937,50,1
,938,41,1
,938,45,2
,938,50,1
,939,41,1
,939,50,1
,940,41,1
,940,50,1
,941,41,1
,941,45,5
,941,50,1
,942,45,1
,946,41,1
,946,42,1
,946,45,17
,947,41,1
,947,45,2
,948,41,1
,948,45,12
,949,41,1
,949,45,8
,950,41,1
,950,50,1
,951,41,1
,951,50,1
,955,41,1
,955,50,1
,956,41,1
,956,50,1
,957,41,1
,958,41,1
,959,41,1
,960,41,1
,960,42,1
,961,41,1
,961,50,1
,962,41,1
,962,50,1
,963,41,1
,963,50,1
,965,41,1
,965,46,4
,966,41,1
,966,46,2
,968,41,1
,970,41,1
,970,50,1
,971,41,1
,971,50,1
,973,41,1
,973,50,1
,983,41,1
,983,50,1
,984,41,1
,984,50,1
,985,41,1
,985,50,1
,988,41,1
,990,41,1
,990,46,1
,990,50,1
,991,41,1
,991,50,1
,992,41,1
,992,46,2
,995,41,1
,995,46,5
,995,50,1
,996,41,1
,996,50,1
,997,41,1
,997,50,1
,998,41,1
,998,50,1
,999,41,1
,999,46,92
,1162,41,1
,1162,46,4
,1165,41,1
,1165,50,1
,1168,41,1
,1168,43,1
,1169,41,1
,1169,43,1
,1170,41,1
,1170,43,1
,1171,41,1
,1171,45,1
,1171,50,1
,1172,41,1
,1172,46,3
,1173,41,1
,1173,46,6
,1173,50,1
,1174,41,1
,1174,46,9
,1174,48,1
,1175,46,10
,1177,41,1
,1177,43,1
,1177,45,1
,1177,50,1
,1181,41,1
,1181,43,1
,1181,50,1
,1182,41,1
,1183,41,1
,1183,53,2
,1184,41,1
,1184,43,1
,1184,50,1
,1185,41,1
,1185,45,1
,1186,41,1
,1186,43,1
,1186,45,1
,1186,50,1
,1205,41,1
,1205,43,1
,1205,46,25
,1206,41,1
,1206,46,25
,1207,41,1
,1209,41,1
,1209,46,20
,1210,46,20
,1222,41,1
,1222,50,1
,1223,41,1
,1223,43,1
,1223,48,1
,1223,49,1
,1223,50,1
,1226,41,1
,1226,42,1
,1226,43,1
,1226,45,1
,1226,50,1
,2367,46,20
