id,user,department,employment
,113,237,1
,243,30,2
,284,816,1
,733,816,1
,769,30,2
,794,816,3
,952,237,1
,958,30,2
,1025,30,2
,1028,30,2
,1046,818,1
,1072,30,2
,1772,30,2
,1777,550,1
,1778,30,2
,1782,30,2
,1784,548,1
,1785,235,1
,1786,30,2
,1788,30,3
,1791,233,1
,1791,356,1
,1792,817,1
,1795,235,1
,1795,817,1
,1796,240,1
,1797,240,1
,1798,240,1
,1804,240,1
,1806,474,1
,1811,474,1
,1812,483,1
,1814,75,1
,1815,75,1
,1816,75,1
,1819,75,1
,1828,490,1
,1830,642,1
,1831,817,1
,1841,234,1
,1842,817,1
,1844,817,1
,1847,240,1
,1850,817,3
,1851,549,1
,1852,483,1
,1857,490,1
,1860,550,1
,1860,550,3
,1861,818,1
,1862,550,1
,1863,550,1
,1864,549,1
,1865,549,1
,1866,549,1
,1868,549,1
,1870,816,1
,1872,818,1
,1874,816,1
,1875,548,1
,1876,817,1
,1878,550,1
,1879,642,1
,1880,818,1
,1884,642,1
,1885,816,1
,1888,356,1
,1890,30,2
,1891,817,1
,1895,240,1
,1897,226,1
,1898,642,1
,1899,549,1
,1900,549,1
,1902,226,1
,1903,226,1
,1904,226,1
,1905,226,1
,1906,642,1
,1907,818,1
,1909,817,1
,1911,233,1
,1912,817,1
,1914,549,1
,1915,817,1
,1918,818,1
,1919,549,1
,1922,549,1
,1923,548,1
,1925,818,1
,1927,550,1
,1928,75,1
,1929,240,1
,1931,549,1
,1932,550,1
,1933,818,1
,1934,817,1
,1935,548,1
,1937,549,1
,1939,549,1
,1940,550,1
,1942,549,1
,1945,818,1
,1946,818,1
,1947,816,1
,1948,816,1
,1950,234,1
,1951,483,1
,1951,489,1
,1952,240,1
,1953,356,1
,1954,642,1
,1957,816,1
,1958,548,1
,1960,240,1
,1961,30,2
,1964,818,1
,1967,816,1
,1968,549,1
,1969,550,1
,1970,549,1
,1971,818,1
,1972,75,1
,1973,816,1
,1975,550,1
,1976,550,1
,1977,548,1
,1978,817,1
,1979,818,1
,1980,818,1
,1981,816,1
,1982,550,1
,1984,549,1
,1987,235,1
,1987,549,1
,1988,550,1
,1989,548,1
,1990,816,1
,1992,549,1
,1993,549,1
,1994,817,1
,1997,549,1
,2002,240,1
,2002,550,1
,2003,240,1
,2004,818,1
,2006,550,1
,2009,550,1
,2010,240,1
,2012,488,1
,2015,818,1
,2029,549,1
,2030,490,1
,2032,548,1
,2034,549,1
,2035,817,1
,2036,816,1
,2037,550,1
,2039,549,1
,2040,817,1
,2041,550,1
,2043,233,1
,2044,233,1
,2047,233,1
,2047,483,1
,2049,642,1
,2050,549,1
,2052,549,1
,2053,550,1
,2054,548,1
,2055,549,1
,2059,496,1
,2061,816,1
,2062,817,1
,2065,30,2
,2066,550,1
,2067,548,1
,2068,550,1
,2071,240,1
,2073,549,1
,2076,642,1
,2077,817,1
,2078,548,1
,2082,549,1
,2083,548,1
,2085,816,1
,2086,550,1
,2089,316,1
,2090,549,1
,2092,240,1
,2094,550,1
,2095,548,1
,2096,548,1
,2099,356,1
,2102,549,1
,2103,75,1
,2104,549,1
,2105,817,1
,2106,493,1
,2107,549,1
,2108,549,1
,2110,226,1
,2111,817,1
,2112,240,1
,2114,233,1
,2115,30,2
,2116,226,1
,2116,237,1
,2119,483,1
,2121,817,1
,2122,816,1
,2124,30,2
,2125,238,1
,2126,485,1
,2129,30,2
,2133,548,1
,2138,240,1
,2140,818,3
,2148,30,2
,2148,387,1
,2149,816,1
,2150,473,1
,2151,816,1
,2152,474,1
,2156,240,1
,2156,642,1
,2164,240,1
,2166,235,1
,2167,816,1
,2168,240,1
,2170,30,2
,2172,817,1
,2173,548,1
,2175,550,1
,2177,235,1
,2178,226,1
,2181,550,1
,2184,818,1
,2185,226,1
,2191,240,1
,2194,474,1
,2195,816,1
,2196,550,1
,2199,816,1
,2200,30,2
,2200,818,1
,2209,642,1
,2335,491,1
,2394,356,1
,2440,30,2
,2540,30,2
,2564,817,1
,2565,30,2
,2587,30,2
,2588,550,1
,2597,30,2
,2614,549,1
,2665,30,2
,2666,548,1
,2954,240,1
,2957,30,2
,2970,548,1
,2978,30,2
,2979,549,1
,2980,496,1
,2982,30,2
,3122,817,1
,3216,550,1
,3325,30,2
,3393,237,1
,3410,30,2
,3411,30,2
,3416,30,2
,3432,490,1
,3441,30,2
,3445,548,1
,3568,30,2
,3573,30,2
,3574,30,2
,3582,818,1
,3637,816,1
,3652,548,1
,3676,642,1
,3678,30,2
,3706,356,1
,3708,642,1
,3709,642,1
,3710,356,1
,3711,642,1
,3714,642,1
,3715,642,1
,3733,30,2
,3740,818,1
,3782,30,2
,3793,30,2
,3799,817,1
,3843,30,2
,3861,818,1
,3862,30,2
,3865,240,1
,4042,30,2
,4077,485,1
,4098,30,2
,4099,30,2
,4125,30,2
,4127,30,2
,4131,30,2
,4141,30,2
,4144,30,2
,4225,490,1
,4226,549,1
,4227,234,1
,4230,474,1
,4232,549,1
,4233,549,1
,4234,817,1
,4237,817,1
,4238,226,1
,4240,356,1
,4243,75,1
,4244,550,1
,4245,389,1
,4247,75,1
,4248,30,2
,4251,550,1
,4252,816,1
,4254,30,2
,4257,817,1
,4259,30,2
,4263,548,1
,4287,30,2
,4288,30,2
,4324,30,2
,4393,30,2
,4463,356,1
,4483,30,2
,4485,30,2
,4486,30,2
,4488,30,2
,4489,30,2
,4490,30,2
,4491,30,2
,4492,30,2
,4503,30,2
,4504,30,2
,4557,30,2
,4572,234,1
,4576,30,2
,4576,226,1
,4581,240,1
,4662,817,1
,4671,30,2
,4824,549,1
,4895,818,1
,4897,549,1
,4907,356,1
,4909,356,1
,4928,356,1
,4931,356,1
,4933,356,1
,4934,356,1
,4935,356,1
,4936,356,1
,4937,356,1
,4938,642,1
,4939,642,1
,4940,356,1
,4945,356,1
,4946,356,1
,4947,642,1
,4948,642,1
,4949,642,1
,4953,356,1
,4954,356,1
,4955,356,1
,4959,356,1
,4960,356,1
,4968,356,1
,4969,30,2
,4971,816,1
,4972,356,1
,4973,356,1
,5004,30,2
,5010,30,2
,5013,30,2
,5146,549,1
,5148,549,1
,5159,316,1
,5207,30,2
,5209,548,1
,5217,30,2
,5353,474,1
,5365,549,1
,5369,30,2
,5378,30,2
,5379,30,2
,5381,30,2
,5382,30,2
,5383,30,2
,5389,30,2
,5390,30,2
,5391,30,2
,5428,30,2
,5429,30,2
,5430,30,2
,5431,30,2
,5432,30,2
,5433,30,2
,5434,30,2
,5435,30,2
,5436,30,2
,5437,30,2
,5439,30,2
,5440,30,2
,5449,491,1
,5465,30,2
,5498,30,2
,5499,30,2
,5500,30,2
,5501,30,2
,5502,30,2
,5503,30,2
,5504,30,2
,5505,30,2
,5506,30,2
,5515,356,3
,5698,226,1
,6087,475,1
,7943,548,3
,7944,548,3
,8034,816,3
,8036,816,3
,8037,550,1
,8039,816,3
,8040,816,3
,8041,549,3
,8044,30,2
,8986,475,1
,9197,239,1
,9202,30,2
,10029,30,2
,10106,30,2
,10137,816,1
,10138,818,1
,10139,816,1
,10146,30,2
,10187,818,1
,10198,549,1
,10201,817,1
,10210,817,1
,10218,816,1
,10228,548,1
,10243,549,1
,10291,642,1
,10296,642,1
,10303,30,2
,10315,549,1
,10327,642,1
,10329,356,1
,10330,356,3
,10330,387,1
,10397,818,1
,10428,548,3
,10437,549,3
,10456,550,3
,10504,549,3
,10904,817,1
,10929,548,3
,10950,549,1
,10967,817,3
,11034,356,1
,11119,816,3
,11412,30,2
,11437,356,3
,11462,817,1
,11462,817,3
,11556,817,1
,11579,549,3
,11589,30,2
,11597,549,1
,11598,356,1
,11618,817,1
,11638,30,2
,11638,356,3
,11663,817,1
,11678,30,2
,11745,548,3
,11759,549,3
,11771,549,3
,11787,548,3
,11803,30,2
,11822,356,3
,11871,549,1
,11880,548,1
,11914,642,3
,11924,356,1
,11932,816,3
,11948,30,3
,11948,549,1
,11951,549,1
,11955,356,1
,11958,30,2
,11958,549,3
,11961,356,3
,11963,356,1
,11969,548,1
,11979,816,3
,11994,356,3
,12005,818,3
,12020,549,1
,12023,549,1
,12023,549,3
,12050,548,1
,12090,550,1
,12282,548,1
,12282,548,3
,12290,642,1
,12300,30,2
,12324,818,3
,12333,548,1
,12343,549,3
,12349,30,2
,12351,549,1
,12559,818,1
,12583,30,2
,12587,818,3
,12593,818,3
,12615,356,1
,12615,356,3
,13671,237,1
,14157,30,2
,14157,642,1
,15295,30,2
,16010,817,3
,16036,816,1
,16036,816,3
,16041,548,3
,16059,549,3
,16076,356,1
,16076,356,3
,16088,642,3
,16096,30,2
,16112,642,3
,16513,30,2
,16515,30,2
,16525,548,3
,16569,356,3
,16581,549,3
,16982,30,2
,17090,30,2
,17715,356,3
,17719,30,2
,19095,642,3
,19103,548,1
,19103,548,3
,19131,548,3
,19153,356,3
,19519,356,1
,19530,549,1
,19598,818,3
,19622,818,1
,20007,30,2
,20912,816,3
,22286,356,1
,22286,356,3
,22306,818,3
,22325,30,2
,22382,549,3
,22389,549,1
,22389,549,3
,22760,817,1
,22760,817,3
,22783,549,3
,22786,642,3
,22818,642,3
,22832,550,3
,22849,817,1
,22849,817,3
,23697,30,3
,24460,30,2
,24468,548,1
,24483,549,1
,24492,642,1
,24507,356,1
,24508,30,2
,26710,356,3
,26988,548,3
,27010,235,1
,27010,550,1
,27048,549,1
,27049,549,1
,27058,30,3
,27068,30,3
,27068,816,1
,27073,818,3
,27405,30,2
,27473,30,3
,27473,816,1
,27484,549,1
,27487,817,1
,27489,294,1
,27494,30,2
,27795,642,1
,28600,549,1
,28600,549,3
,28608,816,3
,28614,549,1
,28619,548,3
,29002,356,1
,29008,817,1
,29008,817,3
,29017,816,3
,29125,549,3
,30190,816,1
,30190,816,3
,30303,548,3
,30659,642,1
,30659,642,3
,31042,30,2
,32670,30,2
,35022,642,3
,35044,549,3
,35048,642,3
,35059,30,2
,35103,549,3
,35167,817,3
,35176,30,2
,35221,818,3
,35254,549,3
,35256,642,3
,35266,549,1
,35266,549,3
,35277,818,3
,35291,818,3
,35347,642,3
,35350,548,3
,35362,816,3
,35394,818,3
,35408,30,2
,35430,549,3
,35431,818,3
,35581,356,3
,35584,548,3
,35589,816,3
,35649,356,3
,35688,550,3
,35740,642,3
,35750,548,3
,35871,356,3
,35911,817,3
,35917,549,3
,35971,549,3
,35999,816,3
,36020,549,1
,36020,549,3
,36029,816,3
,36031,549,3
,36038,549,3
,36054,549,3
,36061,816,3
,36067,642,3
,36076,356,3
,36087,816,3
,36207,356,3
,36268,816,3
,36329,30,2
,36338,30,2
,36348,30,2
,36445,30,2
,36459,30,2
,36474,30,2
,36487,30,2
,36541,237,1
,36638,30,2
,36648,30,2
,36671,30,2
,36686,356,3
,37962,30,2
,37974,30,2
,38006,30,2
,38006,818,1
,38029,30,2
,38051,642,1
,38071,30,2
,38258,30,2
,38270,30,2
,38670,30,2
,38807,548,1
,38931,237,1
,38943,30,2
,38943,226,1
,39809,30,2
,39810,30,2
,42526,549,1
,42529,548,1
,42580,816,1
,42609,816,1
,43368,30,2
,43368,548,1
,43962,817,3
,44261,30,2
,44261,549,3
,44349,30,2
,44526,550,3
,44789,817,3
,45087,474,1
,45097,550,3
,45098,550,3
,45118,549,3
,45119,549,3
,45120,549,3
,45169,642,1
,45198,817,1
,45329,240,1
,45354,548,3
,45375,233,1
,45390,237,1
,45457,30,2
,45458,30,2
,45463,30,2
,45464,30,2
,45465,30,2
,45529,496,1
,46277,30,2
,46289,483,1
,46314,30,2
,46335,548,1
,46359,485,1
,46360,548,1
,46368,548,1
,46444,818,1
,46445,818,1
,46512,240,1
,46547,233,1
,46548,30,2
,46549,30,2
,46550,30,2
,46552,30,2
,47208,30,2
,47209,30,2
,47210,30,2
,47211,30,2
,47255,30,2
,47550,240,1
,47556,240,1
,47701,30,2
,47702,30,2
,47703,30,2
,47704,30,2
,47705,30,2
,47706,30,2
,47709,30,2
,47710,30,2
,47711,30,2
,47712,30,2
,47713,30,2
,47714,30,2
,47715,30,2
,47716,30,2
,47717,30,2
,47718,30,2
,47719,30,2
,47720,30,2
,47721,30,2
,47722,30,2
,47723,30,2
,47729,30,2
,47730,30,2
,47732,30,2
,47733,30,2
,47734,30,2
,47738,30,2
,47766,549,1
,48100,235,1
,48475,642,1
,49501,548,3
,49520,549,3
,49892,818,3
,49898,818,3
,49912,818,3
,49932,818,3
,49947,818,3
,49948,816,3
,49982,550,3
,49985,549,3
,49989,549,3
,49992,30,2
,49996,30,2
,49997,549,3
,50007,549,3
,50011,30,2
,50014,549,3
,50018,549,1
,50018,549,3
,50222,818,3
,50249,549,3
,50252,549,3
,50256,818,3
,50566,548,3
,50650,817,3
,50670,548,3
,50687,817,3
,50700,817,3
,50701,548,3
,50733,356,3
,50753,642,3
,50773,816,3
,50788,356,3
,50790,816,3
,50822,356,3
,50837,356,3
,50840,642,3
,50960,818,3
,51174,548,3
,51182,356,3
,51256,356,3
,51269,356,3
,51270,356,3
,51274,356,3
,51288,356,3
,51290,356,3
,51293,356,3
,51297,356,3
,51336,818,3
,51365,548,3
,51372,548,3
,51391,642,3
,51393,548,3
,51407,548,3
,51412,549,3
,51413,642,3
,51414,817,3
,51446,817,3
,51450,548,3
,51587,30,2
,51630,642,3
,51651,240,1
,51652,226,1
,52618,226,1
,53309,548,1
,53309,548,3
,53437,475,1
,53474,240,1
,53480,30,2
,53877,237,1
,53879,356,1
,54190,817,1
,54374,240,1
,54396,240,1
,54417,817,1
,54575,30,2
,54686,226,1
,54711,474,1
,54921,30,2
,55014,226,1
,55148,240,1
,55201,818,3
,55209,818,3
,55330,548,3
,55391,817,3
,55712,549,3
,55721,489,1
,55743,549,3
,55747,549,3
,55754,817,3
,55760,549,3
,55772,642,3
,55779,548,3
,55800,642,3
,55861,817,3
,55864,356,3
,55900,356,3
,55901,642,3
,55916,816,3
,56019,356,3
,56022,356,3
,56036,817,3
,56037,549,3
,56056,356,3
,56057,356,3
,56083,817,3
,56097,817,3
,56101,356,3
,56107,642,3
,56169,356,1
,56382,818,3
,56385,818,3
,56387,818,3
,56404,818,3
,56424,818,3
,56434,818,3
,56483,492,1
,56721,816,1
,56721,816,3
,56727,549,3
,56879,550,3
,56880,549,3
,56881,356,3
,56882,818,3
,56934,548,3
,57042,549,3
,57044,817,3
,58850,474,1
,59645,816,1
,60161,548,3
,60263,240,1
,60274,548,3
,60275,548,3
,60281,817,3
,60284,548,3
,60940,548,3
,60941,548,3
,61449,474,1
,61551,316,1
,61596,816,1
,61748,817,1
,61748,817,3
,61824,491,1
,61895,356,1
,62214,816,1
,62219,485,1
,62224,817,3
,62279,817,3
,62281,642,3
,62282,356,3
,62283,548,3
,62284,548,3
,62299,475,1
,62470,475,1
,62890,30,2
,62899,30,2
,62903,30,2
,63822,548,3
,63823,548,3
,63839,550,3
,63845,817,3
,64059,549,3
,65038,240,1
,65233,490,1
,65336,817,3
,65794,30,2
,66691,240,1
,66701,475,1
,66704,240,1
,66708,549,3
,66713,30,2
,66714,30,2
,66715,30,2
,66716,30,2
,66718,30,2
,66719,356,1
,67431,235,1
,67883,30,2
,70083,642,3
,70155,356,3
,70156,817,3
,70357,30,2
,70775,226,1
,70840,816,1
,70879,30,2
,70890,548,3
,70893,549,1
,70940,294,1
,70953,30,2
,70958,30,2
,70967,475,1
,70971,474,1
,70981,240,1
,71006,816,1
,71054,30,2
,71074,30,2
,71075,30,2
,71077,475,1
,71092,30,2
,71097,30,2
,71116,30,2
,71127,30,2
,71138,30,2
,71177,30,2
,71180,30,2
,71183,30,2
,71184,30,2
,71185,30,2
,71187,30,2
,71188,30,2
,71189,30,2
,71190,30,2
,71191,30,2
,71238,30,2
,71244,30,2
,71246,30,2
,71247,30,2
,71248,30,2
,71249,30,2
,71250,30,2
,71274,30,2
,71275,30,2
,71276,30,2
,71277,30,2
,71279,30,2
,71283,30,2
,71286,30,2
,71311,30,2
,71323,30,2
,71324,30,2
,71331,30,2
,71333,30,2
,71334,30,2
,71347,30,2
,71380,30,2
,71383,240,1
,71389,30,2
,71408,30,2
,71410,30,2
,71421,485,1
,71653,816,1
,71655,816,1
,71679,30,2
,71960,30,2
,71961,30,2
,71967,30,2
,73095,30,2
,73104,30,2
,73105,30,2
,73655,240,1
,73709,30,2
,73753,233,1
,73911,30,2
