id,user,group,group_number,study_type
,47349,760000002,,1
,8043,820000002,,1
,6161,840000001,,1
,5987,730006453,1,1
,64593,860000002,,1
,48061,730006452,1,1
,64221,730006461,5,1
,6192,730006461,2,1
,8691,780000003,3,1
,6068,790002211,,1
,9046,760000003,2,1
,6275,780000003,,1
,64894,790002212,,1
,72585,760000001,1,1
,72598,750000001,1,1
,55856,790002212,,1
,8714,730006463,,1
,54178,780000002,,1
,64144,730006451,6,1
,8906,730006453,,1
,8482,740000003,1,1
,47477,770000002,,1
,56435,790002211,,2
,72496,770000001,2,1
,53435,740000002,,1
,72840,730006461,8,1
,9057,760000003,2,1
,65781,740000001,3,1
,64106,780000001,3,1
,54029,730006472,2,1
,55973,359006442,2,1
,8622,780000001,3,1
,46210,730006451,5,1
,5975,359006421,,1
,72803,730006461,4,1
,72801,730006461,4,1
,70150,730006472,2,1
,56263,359006431,,1
,54100,770000001,2,1
,72605,740000001,2,1
,56472,790002252,,1
,9045,760000003,2,1
,70541,750000001,1,1
,8481,740000003,1,1
,6110,790002211,,1
,53905,730006462,3,1
,53648,730006452,1,1
,64848,840000001,,1
,5925,730006453,1,1
,46208,760000001,1,1
,74651,770000001,3,1
,9032,760000003,1,1
,54103,730006451,7,1
,8688,780000003,3,1
,51283,840000002,,1
,54130,760000002,,1
,8458,730006462,3,1
,54289,770000001,3,1
,48016,359006422,,1
,64909,790002212,,1
,8813,730006453,,1
,56021,840000001,,1
,72837,730006491,8,1
,56093,790002251,,1
,73080,780000001,3,1
,6181,359006441,,1
,64198,840000002,,1
,55915,359006421,,1
,72778,730006451,2,1
,50815,810000002,,1
,64760,730006473,2,1
,6252,860000001,,1
,64919,860000002,,1
,65368,865000001,,1
,64835,840000002,,1
,64098,770000001,2,1
,72668,750000001,4,1
,5721,760000001,66,2
,55969,359006422,,1
,35938,840000001,,2
,54082,730006472,2,1
,44529,800000001,,1
,8833,730006463,,1
,8976,770000003,2,1
,48119,860000002,,1
,72504,770000001,3,1
,5533,750000003,,1
,72701,740000001,3,1
,6078,790002211,,1
,8904,730006473,7,1
,53997,730006462,3,1
,53259,750000002,,1
,8935,760000002,,2
,5926,359006431,,1
,53251,740000002,,1
,64138,730006461,4,1
,64211,730006461,4,1
,64598,860000001,,1
,47638,760000002,,1
,72602,750000001,4,1
,9043,760000003,2,1
,72477,770000001,2,1
,64783,359006432,,1
,5532,800000001,,1
,64196,865000002,,1
,53983,730006491,4,1
,6325,359006431,,1
,48060,730006462,3,1
,73017,780000001,2,1
,56219,359006432,,1
,8679,780000003,3,1
,6130,790002211,,1
,55721,790002251,,1
,8769,730006461,6,1
,53439,740000002,,1
,54141,780000002,,1
,53241,730006472,2,1
,54019,730006472,2,1
,72612,740000001,2,1
,6096,790002211,,1
,47333,770000002,,1
,64780,810000002,,1
,48049,760000002,,1
,53304,750000001,2,1
,47322,780000002,,1
,35900,840000002,,1
,8448,730006471,10,1
,6051,730006453,1,1
,51246,840000001,,1
,59863,860000002,,1
,64674,730006473,7,1
,8639,780000002,,1
,47400,760000001,3,1
,5594,865000001,,1
,72754,730006471,10,1
,70487,760000001,66,2
,72716,740000001,2,1
,54096,730006462,3,1
,6304,780000003,,1
,5908,359006431,,1
,8605,780000002,,1
,8586,780000001,1,1
,50774,359006432,3,1
,55887,830000001,,1
,5984,730006451,11,1
,72652,750000001,3,1
,8961,770000003,1,1
,58674,790002271,,1
,65370,860000001,,1
,64180,850000002,,1
,72989,730006451,2,1
,5860,359006421,,1
,72762,730006471,7,1
,8510,740000003,2,1
,54232,780000001,1,1
,6080,790002211,,1
,64639,860000002,,1
,73030,750000001,3,1
,38148,359006432,,1
,9060,760000001,3,1
,70469,760000002,,1
,55876,860000002,,1
,46107,730006451,9,1
,64439,730006463,,1
,8462,730006491,10,1
,65487,770000001,3,1
,63507,790002211,,1
,47332,770000001,66,2
,8877,730006453,,1
,8757,730006453,,1
,72579,760000001,1,1
,5581,830000001,,1
,73042,780000001,1,1
,5884,359006431,,1
,72533,760000001,1,1
,54032,730006472,2,1
,35243,840000002,,2
,54214,780000001,1,1
,53980,730006472,2,1
,54134,780000002,,1
,72670,750000001,4,1
,47387,770000001,66,2
,5927,730006463,3,1
,72857,730006471,9,1
,54068,730006472,2,1
,49969,860000002,,1
,54171,780000002,,1
,17472,770000002,,2
,5957,359006421,,1
,51317,840000002,,1
,53961,730006452,3,1
,6271,860000001,,1
,6246,780000003,1,1
,8625,780000003,2,1
,53869,730006472,2,1
,72629,750000001,1,1
,72640,750000001,2,1
,53210,780000001,1,1
,8821,730006473,,1
,72878,730006451,2,1
,54181,780000002,,1
,72500,770000001,2,1
,9004,760000003,1,2
,56447,860000001,,1
,53875,730006471,5,1
,28592,850000002,,1
,64924,860000001,,1
,53977,730006461,7,1
,72744,730006461,9,1
,64884,760000003,1,1
,64890,790002212,,1
,17491,359006442,2,1
,64656,860000001,,1
,65369,865000001,,1
,72663,750000001,4,1
,53881,730006462,3,1
,6317,860000001,,1
,56413,860000002,,1
,8765,730006463,,1
,64142,730006451,5,1
,6206,810000001,,1
,53880,770000001,66,2
,6176,840000001,,1
,47855,359006432,,1
,47344,770000001,3,1
,9040,760000003,2,1
,72487,770000001,1,1
,72922,730006451,8,1
,56361,860000001,,1
,72637,750000001,2,1
,8964,770000003,3,1
,72647,750000001,3,1
,8572,750000003,1,1
,72558,760000001,4,1
,55971,730006463,,1
,8853,730006453,,1
,6177,770000003,2,1
,73029,780000001,2,1
,47923,359006442,,1
,72876,730006461,11,1
,68249,860000002,,1
,9127,730006471,3,1
,54162,780000002,,1
,64887,790002232,,1
,46135,740000002,,1
,7956,359006431,,1
,8516,740000003,1,1
,72737,730006471,11,1
,8654,780000003,2,1
,72833,730006451,7,1
,54143,780000002,,1
,47646,760000002,,1
,60944,840000002,,2
,47588,760000001,3,1
,55863,840000002,,1
,58945,359006421,,1
,64635,860000001,,1
,55828,790002212,,1
,56040,359006432,3,1
,6288,860000001,,1
,57635,359006442,,1
,74686,780000001,2,1
,6056,730006463,3,1
,8958,770000003,1,1
,8326,730006461,10,1
,47385,760000001,66,2
,64750,359006421,,1
,8783,730006472,2,1
,72770,730006491,1,1
,55782,790002212,,1
,53383,750000002,,1
,6278,860000001,,1
,72490,770000001,1,1
,64664,860000001,,1
,8698,780000003,3,1
,64624,860000002,,1
,64740,790002212,,1
,70087,760000001,66,2
,54067,730006471,3,1
,6258,860000001,,1
,64672,359006432,,1
,55919,359006442,,1
,54095,730006462,3,1
,72799,730006461,4,1
,43063,770000003,,1
,8852,730006453,,1
,46072,730006461,4,1
,9013,760000003,1,1
,5885,730006453,1,1
,64167,830000002,,1
,54246,780000002,,1
,72528,760000001,1,1
,70336,865000002,,1
,73072,780000001,3,1
,6024,359006431,,1
,8640,780000003,2,1
,56375,860000002,,1
,50264,780000003,3,1
,74652,730006471,6,1
,53521,760000002,,1
,72472,770000001,1,1
,53968,730006462,3,1
,43091,730006463,,1
,64537,780000003,,1
,72711,740000001,3,1
,69927,770000003,3,1
,64876,790002232,,1
,8604,780000003,4,1
,5733,730006453,,1
,8597,770000003,,1
,5941,359006421,,1
,72494,770000001,2,1
,72715,740000001,2,1
,56468,860000002,,1
,72949,730006461,9,1
,6212,750000003,,1
,64938,860000002,,1
,64228,840000002,,1
,54045,730006461,1,1
,6104,790002211,,1
,6102,790002211,,1
,47639,760000002,,1
,72976,730006471,8,1
,72709,740000001,3,1
,47618,760000001,3,1
,36657,359006442,,1
,72805,740000001,2,1
,6116,760000003,2,1
,8832,730006453,,1
,6173,840000001,,1
,72834,730006461,3,1
,64493,359006442,,1
,72682,740000001,2,1
,72835,730006471,7,1
,54251,780000002,,1
,72616,740000001,2,1
,64122,740000001,1,1
,9030,760000003,3,1
,47390,770000002,66,2
,52414,730006461,6,1
,64858,790002232,,1
,5868,730006473,2,1
,54176,780000002,,1
,72812,730006451,3,1
,52571,730006491,10,1
,8957,770000002,,1
,72525,760000001,1,1
,73076,780000001,3,1
,72916,730006491,2,1
,65363,840000001,,1
,64689,359006432,,1
,8844,730006453,,1
,64864,790002252,,1
,72531,760000001,1,1
,72854,730006471,9,1
,64169,770000001,2,1
,62745,730006471,12,1
,51188,770000003,,2
,6154,770000002,,1
,72495,770000001,2,1
,64869,790002212,,1
,9050,760000003,2,1
,64643,780000001,1,1
,64904,790002211,,1
,72789,730006471,3,1
,8929,760000002,,2
,72516,770000001,1,1
,54219,780000002,,1
